*Code,Report Code,*Name,Reporting Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
,ASS,Manager Exp Acc -8480,,Bank,BAS Excluded,,No,No,No,
,ASS,American Express® Platinum Bus - SIMON,,Bank,BAS Excluded,,No,No,No,
,ASS,American Express® Platinum Bus - PETER,,Bank,BAS Excluded,,No,No,No,
11001,ASS.CUR,Westpac Business One 0394,,Bank,BAS Excluded,,No,No,No,
11003,ASS.CUR,Westpac Cash Reserve 6127,,Bank,BAS Excluded,,No,No,No,
11060,ASS.CUR,Cash on Hand,Cash in Hand,Current Asset,BAS Excluded,,No,No,No,
11070,ASS.NCA,Rental Bond - Bank Guarantee,,Current Asset,BAS Excluded,,No,No,No,
12100,ASS.CUR,Accounts Receivable,,Accounts Receivable,BAS Excluded,,No,No,No,
12200,ASS.NCA,Bank Guarantee,,Current Asset,BAS Excluded,,No,No,No,
12250,ASS,Prepaid Expenses,,Current Asset,GST on Expenses,,No,No,No,
12700,ASS.CUR,Loan - Employee advances,,Current Asset,BAS Excluded,,No,No,No,
12725,ASS.NCA,Goodwill,,Non-Current Asset,BAS Excluded,,No,No,No,
12726,ASS,Trust Deed Stamp Duty Paid,,Non-Current Asset,BAS Excluded,,No,No,No,
12730,ASS.CUR,Debtors - Other,,Current Asset,BAS Excluded,,No,No,No,
12750,ASS.CUR,Formation costs,,Current Asset,BAS Excluded,,No,No,No,
13510,ASS.NCA,Motor Vehicle - Private Use,,Fixed Asset,BAS Excluded,,No,No,No,
13520,ASS.NCA,Low Value Pool at cost,Low Value Pool,Fixed Asset,GST on Capital,,No,No,No,
13530,ASS.NCA,Low Value Pool accumulated depreciation,Less Accumulated Depreciation,Fixed Asset,BAS Excluded,,No,No,No,
13540,ASS.NCA,Plant & Equipment,Plant & Equipment at Cost,Fixed Asset,GST on Capital,,No,No,No,
13550,ASS.NCA,Plant & Equipment Accumulated Depreciation,Less Accumulated Depreciation,Fixed Asset,BAS Excluded,,No,No,No,
13600,ASS.NCA,Fitout at cost,Gym Fitout at Cost,Fixed Asset,GST on Capital,,No,No,No,
13650,ASS.NCA,Fit out at Cost Accumulated Depreciation,Less Accumulated Depreciation,Fixed Asset,BAS Excluded,,No,No,No,
13660,ASS.NCA,Borrowing Costs,,Current Asset,BAS Excluded,,No,No,No,
13661,ASS.NCA,Less: Accumulated Amortisation,,Current Asset,BAS Excluded,,No,No,No,
22011,LIA.CUR,BusinessChoice Mastercard 8253,,Bank,BAS Excluded,,No,No,No,
22011 A,LIA,BusinessChoice Mastercard 8253 - Adjustment,,Current Liability,BAS Excluded,,No,No,No,
22014,LIA.NCL,Westpac Business Loan (NEW),,Bank,BAS Excluded,,No,No,No,
22015,LIA.NCL,Westpac Business Loan,,Current Liability,BAS Excluded,,No,No,No,
22050,LIA.NCL,Director's Loan,,Current Liability,BAS Excluded,,No,No,No,
22051,LIA.NCL,Loan - Clarke & Winther Pty Ltd,,Current Liability,BAS Excluded,,No,No,No,
22052,LIA.NCL,Loan - ATF Duke Pty Limited,,Current Liability,BAS Excluded,,No,No,No,
