*Code,Report Code,*Name,Reporting Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
,ASS.CUR.CAS,Marketing Account,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS,AMEX Trever Acc *001,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS,Macquarie Tax Acc *786,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS,Westpac BusinessChoice Rewards Platinum Acc *921,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS,Macquarie Savings Acc *582,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS.BAN,Facility Card - Pavilion Property Sales *0751,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS,Macquarie General Acc *745,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS,AMEX Troy Acc *000,,Bank,BAS Excluded,,No,No,No,
,ASS.CUR.CAS,Macquarie GST Acc *778,,Bank,BAS Excluded,,No,No,No,
170,ASS.NCA.FIX,Buildings - Base Build,,Fixed Asset,GST on Expenses,Structural Components of new office build.,No,No,No,
171,ASS.NCA.FIX,Leasehold Improvements - Fitout,,Fixed Asset,GST on Expenses,"Internal office fitout, joinery, A/C, finishes",No,No,No,
172,ASS.NCA.FIX,Furnitures & Fittings - Fitout,,Fixed Asset,GST on Capital (10%),Office furniture purchased as part of new office fitout,No,No,No,
190,REV.OTH.COM,Commission Received,,Revenue,GST on Income,Professional Income,No,No,No,
192,REV.OTH,Referral Fees Received,,Other Income,GST on Income,,No,No,No,
194,REV.OTH,Interest Received -ATO,,Other Income,GST on Income,,No,No,No,
196,REV.OTH,Interest - Division 7A,,Other Income,GST Free Income,,No,No,No,
197,REV.OTH,Cashflow Boost,,Other Income,BAS Excluded,,No,No,No,
198,REV.OTH,Jobsaver Income,,Other Income,GST on Income,,No,No,No,
199,REV.INV.INT,Interest Received,,Other Income,GST Free Income,Non-Trading Income,No,No,No,
200,REV.OTH,Traineeship rebates,,Other Income,GST Free Income,,No,No,No,
201,REV.OTH,Sponsorship,,Other Income,GST on Income,,No,No,No,
208,EXP.FOR.UGL,Unrealised Currency Gains,,Unrealised Currency Gains,BAS Excluded,Unrealised currency gains on outstanding items,No,No,No,
209,EXP.FOR.RGL,Realised Currency Gains,,Realised Currency Gains,BAS Excluded,Gains or losses made due to currency exchange rate changes,No,No,No,
215,REV,Social Media,,Revenue,GST on Income,Social Media Clients,No,No,No,
230,REV.OTH,Reimbursements,,Other Income,GST on Income,Trading Accounts,No,No,No,
237,REV,Gain / (Loss) on Disposal of Fixed Assets,,Other Income,BAS Excluded,,No,No,No,
238,REV.OTH,Marketing Reimbursements,,Other Income,GST on Income,,No,No,No,
240,EXP,IT Support,,Expense,GST on Expenses,IT Support,No,No,No,
245,EXP,Aspire,,Expense,GST on Expenses,,No,No,No,
300,EXP.PRO,Accounting Fees,Accounting Fees,Expense,GST on Expenses,Overhead Expenses,No,No,No,
302,EXP.ADV,Advertising and marketing,,Expense,GST on Expenses,Overhead Expenses,No,Yes,No,
303,EXP,Monthly Franchise Fee,,Expense,GST on Expenses,4% franchise fee to be paid to Advantage 2 - Monthly,Yes,No,Yes,
305,EXP,Consulting Fees,,Expense,GST on Expenses,,No,No,No,
307,EXP,Amex Fee,,Expense,GST on Expenses,,No,No,No,
308,EXP.BAD,Bad Debts Written Off,,Expense,BAS Excluded,Overhead Expenses,No,No,No,
309,EXP,Bank Charges & Fees,,Expense,BAS Excluded,Overhead Expenses,No,No,No,
314,EXP,Cleaning,,Expense,GST on Expenses,Overhead Expenses,No,Yes,No,
316,EXP,Commissions Paid,,Expense,GST on Expenses,Overhead Expenses,No,Yes,No,
319,EXP,Printer Lease,,Expense,GST on Expenses,,No,No,No,
330,EXP.DEP,Depreciation,,Depreciation,BAS Excluded,Overhead Expenses,No,No,No,
346,EXP,Donations/Sponsorship,,Expense,BAS Excluded,Overhead Expenses,No,No,No,
352,EXP.UTI,Electricity,,Expense,GST on Expenses,Overhead Expenses,No,Yes,No,
353,EXP,Waste Removal,,Expense,GST on Expenses,,No,No,No,
355,EXP,Employee Expenses,,Expense,GST on Expenses,Overhead Expenses,No,Yes,No,
356,EXP,Employee Amenities,,Expense,GST on Expenses,Overhead Expenses,No,Yes,No,
358,EXP.ENT,Meals & Entertainment,,Expense,BAS Excluded,Overhead Expenses,No,Yes,No,
362,EXP,Fees & Permits,,Expense,BAS Excluded,Overhead Expenses,No,Yes,No,
